t,MV,MVP,MVI,MVD,MVFF,SP,PV,DV,Man
6.280000000000000000e+02,6.700147133237565811e+01,9.990664920471084898e+00,5.663785611022731104e+01,3.729503016772682811e-01,0.000000000000000000e+00,5.985000000000000142e+01,5.650900000000000034e+01,5.000000000000000000e+01,0.000000000000000000e+00
6.290000000000000000e+02,6.685719527672097229e+01,9.894974624914352646e+00,5.669706561862804506e+01,2.651550331785739179e-01,0.000000000000000000e+00,5.985000000000000142e+01,5.654099999999999682e+01,5.000000000000000000e+01,0.000000000000000000e+00
6.300000000000000000e+02,6.614785867432534872e+01,9.509223120951222796e+00,5.675396686876837293e+01,-1.153313153942450708e-01,0.000000000000000000e+00,5.985000000000000142e+01,5.667000000000000171e+01,5.000000000000000000e+01,0.000000000000000000e+00
6.310000000000000000e+02,6.659121401391612949e+01,9.703594033800868601e+00,5.681203119477634544e+01,7.558878533890249496e-02,0.000000000000000000e+00,5.985000000000000142e+01,5.660499999999999687e+01,5.000000000000000000e+01,0.000000000000000000e+00
6.320000000000000000e+02,6.664597818778874228e+01,9.703594033800868601e+00,5.687009552078431796e+01,7.228863320356178346e-02,0.000000000000000000e+00,5.985000000000000142e+01,5.660499999999999687e+01,5.000000000000000000e+01,0.000000000000000000e+00
6.330000000000000000e+02,6.631946763696896596e+01,9.509223120951222796e+00,5.692699677092464583e+01,-1.167522549068996940e-01,0.000000000000000000e+00,5.985000000000000142e+01,5.667000000000000171e+01,5.000000000000000000e+01,0.000000000000000000e+00
6.340000000000000000e+02,6.600591538147126869e+01,9.317842529837738752e+00,5.698275283867221219e+01,-2.946799870386765940e-01,0.000000000000000000e+00,5.985000000000000142e+01,5.673400000000000176e+01,5.000000000000000000e+01,0.000000000000000000e+00
6.350000000000000000e+02,6.626231237869004076e+01,9.413532825394492320e+00,5.703908149761615931e+01,-1.903019443206148686e-01,0.000000000000000000e+00,5.985000000000000142e+01,5.670199999999999818e+01,5.000000000000000000e+01,0.000000000000000000e+00
6.360000000000000000e+02,6.651472489664800491e+01,9.509223120951222796e+00,5.709598274775648719e+01,-9.048097205970924428e-02,0.000000000000000000e+00,5.985000000000000142e+01,5.667000000000000171e+01,5.000000000000000000e+01,0.000000000000000000e+00
6.370000000000000000e+02,6.676335189377185486e+01,9.604913416507974588e+00,5.715345658909319582e+01,4.981888170686787909e-03,0.000000000000000000e+00,5.985000000000000142e+01,5.663799999999999812e+01,5.000000000000000000e+01,0.000000000000000000e+00
