t,MV,MVP,MVI,MVD,MVFF,SP,PV,DV,Man
2.200000000000000000e+03,4.999999999999999289e+01,-1.700595971347471291e+01,6.479875267536498029e+01,2.207207038109722852e+00,0.000000000000000000e+00,5.485000000000000142e+01,6.053699999999999903e+01,6.000000000000000000e+01,1.000000000000000000e+00
2.201000000000000000e+03,5.000000000000000000e+01,-1.700595971347471291e+01,6.489511775104782032e+01,2.110841962426888596e+00,0.000000000000000000e+00,5.485000000000000142e+01,6.053699999999999903e+01,6.000000000000000000e+01,1.000000000000000000e+00
2.202000000000000000e+03,4.999999999999999289e+01,-1.729602092188109097e+01,6.555473414922867903e+01,1.741286772652410608e+00,0.000000000000000000e+00,5.485000000000000142e+01,6.063400000000000034e+01,6.000000000000000000e+01,1.000000000000000000e+00
2.203000000000000000e+03,4.999999999999999289e+01,-1.700595971347471291e+01,6.506329892784120261e+01,1.942660785633502973e+00,0.000000000000000000e+00,5.485000000000000142e+01,6.053699999999999903e+01,6.000000000000000000e+01,1.000000000000000000e+00
2.204000000000000000e+03,5.000000000000000711e+01,-1.700595971347471291e+01,6.514811410394447933e+01,1.857845609530236031e+00,0.000000000000000000e+00,5.485000000000000142e+01,6.053699999999999903e+01,6.000000000000000000e+01,1.000000000000000000e+00
2.205000000000000000e+03,5.000000000000001421e+01,-1.691026941791798066e+01,6.504202348884707874e+01,1.868245929070915468e+00,0.000000000000000000e+00,5.485000000000000142e+01,6.050500000000000256e+01,6.000000000000000000e+01,1.000000000000000000e+00
2.206000000000000000e+03,5.000000000000000711e+01,-1.662020820951160260e+01,6.455613121313966474e+01,2.064076996371943640e+00,0.000000000000000000e+00,5.485000000000000142e+01,6.040800000000000125e+01,6.000000000000000000e+01,1.000000000000000000e+00
2.207000000000000000e+03,5.000000000000000000e+01,-1.652451791395485259e+01,6.445904451242724065e+01,2.065473401527612829e+00,0.000000000000000000e+00,5.485000000000000142e+01,6.037599999999999767e+01,6.000000000000000000e+01,1.000000000000000000e+00
2.208000000000000000e+03,5.000000000000000000e+01,-1.642882761839812034e+01,6.436201877776207425e+01,2.066808840636041644e+00,0.000000000000000000e+00,5.485000000000000142e+01,6.034400000000000119e+01,6.000000000000000000e+01,1.000000000000000000e+00
2.209000000000000000e+03,5.000000000000000000e+01,-1.604307611443501003e+01,6.369759279484680548e+01,2.345483319588202775e+00,0.000000000000000000e+00,5.485000000000000142e+01,6.021500000000000341e+01,6.000000000000000000e+01,1.000000000000000000e+00
2.210000000000000000e+03,4.999999999999999289e+01,-1.584870520158536422e+01,6.341973918267090227e+01,2.428966018914459291e+00,0.000000000000000000e+00,5.485000000000000142e+01,6.014999999999999858e+01,6.000000000000000000e+01,1.000000000000000000e+00
2.211000000000000000e+03,5.000000000000000000e+01,-1.594738581887825823e+01,6.371883900598563599e+01,2.228546812892626239e+00,0.000000000000000000e+00,5.485000000000000142e+01,6.018299999999999983e+01,6.000000000000000000e+01,1.000000000000000000e+00
2.212000000000000000e+03,5.000000000000000711e+01,-1.575301490602863375e+01,6.343588002982568241e+01,2.317134876202957106e+00,0.000000000000000000e+00,5.485000000000000142e+01,6.011800000000000210e+01,6.000000000000000000e+01,1.000000000000000000e+00
